age,gender,genre
57,1,Jazz
59,1,Jazz
46,1,Jazz
25,1,Acoustic
64,0,Acoustic
45,0,Classical
49,0,Classical
52,0,Acoustic
62,1,Jazz
35,1,Jazz
32,1,Jazz
52,0,Classical
39,1,Jazz
56,0,Acoustic
42,1,Classical
38,1,Classical
24,0,HipHop
64,1,Jazz
27,0,Jazz
44,1,Jazz
34,1,Jazz
32,0,Jazz
25,0,Jazz
47,0,Classical
31,0,Acoustic
35,1,Classical
26,1,Acoustic
44,0,Acoustic
20,1,Dance
51,1,Jazz
37,1,Jazz
33,0,Jazz
54,1,Classical
26,0,Acoustic
60,0,Acoustic
32,1,Acoustic
36,0,Classical
52,1,Jazz
32,0,Jazz
22,1,Dance
36,1,Jazz
57,1,Classical
64,0,Classical
60,0,Acoustic
57,1,Classical
50,0,Classical
20,0,HipHop
46,1,Jazz
33,1,Acoustic
37,1,Classical
36,1,Jazz
52,1,Classical
44,0,Acoustic
49,1,Jazz
60,1,Classical
24,1,Dance
31,0,Acoustic
41,0,Classical
27,0,Acoustic
34,1,Acoustic
29,0,Acoustic
28,0,Acoustic
34,1,Acoustic
32,0,Jazz
57,0,Acoustic
18,0,Dance
21,0,HipHop
44,0,Classical
57,0,Acoustic
34,1,Jazz
56,0,Classical
43,1,Jazz
31,0,Acoustic
39,0,Acoustic
59,0,Classical
25,0,Jazz
40,0,Classical
48,0,Classical
43,1,Jazz
21,0,HipHop
22,1,Dance
20,0,Dance
44,0,Classical
51,0,Classical
18,1,Dance
39,1,Jazz
50,1,Classical
53,1,Classical
55,0,Classical
56,0,Acoustic
62,0,Acoustic
56,0,Classical
47,1,Jazz
43,0,Acoustic
25,1,Acoustic
31,0,Acoustic
56,1,Classical
22,0,Dance
41,1,Jazz
38,1,Jazz
46,0,Classical
33,0,Acoustic
32,0,Jazz
57,1,Jazz
36,1,Classical
50,1,Classical
61,1,Jazz
39,1,Classical
33,0,Jazz
25,1,Jazz
19,1,HipHop
64,0,Acoustic
44,1,Classical
32,1,Acoustic
30,0,Jazz
18,0,HipHop
47,0,Classical
31,1,Acoustic
51,1,Jazz
49,1,Classical
63,1,Jazz
55,0,Acoustic
34,1,Acoustic
38,0,Acoustic
29,0,Acoustic
26,0,Jazz
45,1,Classical
56,1,Jazz
51,0,Classical
37,1,Jazz
40,1,Jazz
29,0,Acoustic
40,0,Classical
57,1,Jazz
22,0,HipHop
36,1,Jazz
56,0,Classical
32,1,Jazz
25,0,Acoustic
47,1,Jazz
28,0,Acoustic
35,1,Classical
64,1,Classical
51,1,Classical
22,0,HipHop
46,0,Classical
63,0,Classical
58,0,Acoustic
44,1,Classical
26,0,Jazz
55,1,Classical
46,1,Jazz
30,1,Acoustic
60,0,Acoustic
59,1,Jazz
47,0,Acoustic
23,0,Dance
35,1,Jazz
22,0,HipHop
54,0,Acoustic
33,0,Jazz
29,1,Jazz
63,0,Acoustic
60,0,Classical
54,0,Classical
34,0,Acoustic
34,0,Jazz
46,1,Jazz
46,1,Classical
24,1,HipHop
48,0,Acoustic
58,1,Jazz
42,0,Classical
23,0,Dance
33,0,Acoustic
44,1,Jazz
53,0,Classical
55,0,Classical
50,0,Acoustic
18,0,Dance
44,1,Jazz
22,1,Dance
27,0,Jazz
54,1,Classical
49,1,Classical
34,1,Acoustic
18,0,Dance
46,1,Classical
53,0,Acoustic
62,1,Classical
52,0,Classical
38,1,Jazz
35,0,Classical
54,1,Jazz
45,0,Classical
22,0,Dance
56,1,Classical
61,0,Classical
49,0,Acoustic
30,1,Acoustic
29,1,Acoustic
26,0,Jazz
23,1,HipHop
54,1,Jazz
54,0,Acoustic
41,1,Jazz
63,1,Jazz
18,0,HipHop
24,1,HipHop
23,0,HipHop
63,0,Classical
64,0,Acoustic
64,0,Acoustic
45,1,Classical
47,1,Jazz
22,1,Dance
27,1,Jazz
51,1,Classical
47,0,Acoustic
53,0,Acoustic
21,0,Dance
18,1,Dance
31,0,Acoustic
61,1,Classical
52,0,Classical
57,0,Acoustic
40,1,Classical
40,1,Jazz
28,1,Jazz
40,1,Classical
52,1,Jazz
22,1,Dance
28,0,Acoustic
64,0,Acoustic
46,1,Jazz
46,1,Jazz
64,0,Classical
24,0,Dance
27,1,Acoustic
33,0,Acoustic
19,0,Dance
57,1,Classical
57,0,Acoustic
56,1,Classical
53,0,Classical
19,1,HipHop
20,0,HipHop
51,0,Acoustic
52,0,Classical
26,0,Acoustic
64,1,Classical
43,0,Acoustic
55,1,Classical
50,1,Jazz
26,0,Jazz
59,0,Classical
43,0,Acoustic
55,1,Jazz
29,1,Acoustic
48,1,Classical
20,1,HipHop
31,0,Jazz
19,0,HipHop
27,1,Acoustic
52,0,Acoustic
60,0,Classical
21,1,HipHop
46,0,Classical
48,0,Classical
30,1,Jazz
64,0,Acoustic
25,0,Jazz
56,1,Jazz
51,0,Classical
28,0,Acoustic
38,1,Classical
48,0,Classical
44,0,Classical
23,1,Dance
34,1,Jazz
60,1,Jazz
35,0,Acoustic
20,1,HipHop
64,1,Classical
22,1,HipHop
49,0,Classical
34,0,Acoustic
20,0,Dance
63,1,Jazz
58,1,Jazz
29,1,Jazz
34,1,Acoustic
50,1,Classical
61,0,Acoustic
22,0,HipHop
30,0,Acoustic
59,0,Classical
21,0,Dance
25,1,Acoustic
54,0,Classical
47,0,Classical
41,1,Jazz
18,1,HipHop
55,0,Acoustic
27,1,Jazz
25,0,Acoustic
45,0,Acoustic
20,1,HipHop
34,1,Acoustic
50,1,Classical
19,0,HipHop
52,1,Jazz
19,1,HipHop
24,1,HipHop
64,1,Jazz
43,1,Classical
38,1,Classical
41,1,Classical
33,1,Acoustic
26,0,Jazz
32,0,Acoustic
47,0,Acoustic
23,1,Dance
42,1,Classical
60,1,Classical
22,1,Dance
47,0,Classical
56,0,Classical
60,0,Acoustic
45,1,Jazz
46,0,Classical
28,1,Jazz
52,1,Jazz
21,1,Dance
31,1,Acoustic
24,1,Dance
42,0,Acoustic
64,0,Classical
48,1,Classical
61,0,Acoustic
49,0,Acoustic
45,0,Acoustic
33,1,Jazz
34,1,Acoustic
48,0,Acoustic
35,1,Classical
54,1,Classical
37,0,Classical
26,1,Jazz
50,0,Classical
23,1,Dance
