Date,Date Processed,Description,Amount
4/01/2025,4/01/2025,OPTUS SPORT MACQUARIE P MACQUARIE PARK,50
5/01/2025,6/01/2025,APPLE.COM/BILL          SYDNEY,1.49
5/01/2025,5/01/2025,ONLINE PAYMENT RECEIVED - THANKYOU W2256,-3330.75
8/01/2025,9/01/2025,TEMU.COM                PARRAMATTA,-4.98
10/01/2025,11/01/2025,MyPerfectResume.com     Strassen,4
11/01/2025,11/01/2025,APEUNI EDU              KL,26.83
15/01/2025,16/01/2025,AAMI PI REALTIME        BRISBANE,102.1
20/01/2025,20/01/2025,AAMI PI REALTIME        BRISBANE,100.17
22/01/2025,22/01/2025,AAMI PI REALTIME        BRISBANE,64.59
24/01/2025,25/01/2025,ADORE BEAUTY PTY LTD    NORTHCOTE,38.7
25/01/2025,26/01/2025,GUZMAN Y GOMEZ          SURRY HILLS,16.4
26/01/2025,26/01/2025,8 YOLKS SUCCESS         Success,35.22
26/01/2025,26/01/2025,DAISY MOON & CO         Success,20
26/01/2025,26/01/2025,KMART SUCCESS 1362      SUCCESS,31
26/01/2025,27/01/2025,WOOLWORTHS 4330 HARVEST ATWELL,73.15
27/01/2025,27/01/2025,COLES SOUTHERN RIVER EA SOUTHERN RIV,83.41
27/01/2025,27/01/2025,DESI MARKETPLACE        SOUTHERN RIVER,49.41
27/01/2025,29/01/2025,NIB HEALTH FUNDS LIMITE NEWCASTLE,80.07
29/01/2025,29/01/2025,8 YOLKS SUCCESS         Success,7.52
29/01/2025,31/01/2025,AMAZON MARKETPLACE AU   SYDNEY SOUTH,108.29
29/01/2025,30/01/2025,SWADES FOOD & GROCERY 7 COCKBURN CENTRA,12
29/01/2025,30/01/2025,TEMU.COM                PARRAMATTA,159.3
29/01/2025,30/01/2025,WOOLWORTHS 4330 HARVEST ATWELL,16.95
29/01/2025,30/01/2025,WOOLWORTHS 4330 HARVEST ATWELL,25
30/01/2025,30/01/2025,115 GROUNDHOUSE 79913   ATWELL,8.13
30/01/2025,6/02/2025,AMAZON MARKETPLACE AU   SYDNEY SOUTH,126.55
30/01/2025,31/01/2025,COACH AUSTRALIA         SYDNEY,263
30/01/2025,31/01/2025,NOVO SHOES GROUP - PERT PERTH AIRPORT,89.93
30/01/2025,1/02/2025,SEPHORA AUSTRALIA PTY L CANNINGTON,62
30/01/2025,1/02/2025,SUSHI HUB CAROUSEL      CANNINGTON,15.3
31/01/2025,1/02/2025,LITTLE MAGIC MOMO 13672 OSBORNE PARK,32.58
31/01/2025,1/02/2025,MECCA FORREST CHASE     PERTH,-50
31/01/2025,1/02/2025,SEPHORA AUSTRALIA PTY L PERTH,-62
31/01/2025,1/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,1.2
1/02/2025,2/02/2025,SPUD SHED               SPEARWOOD,46.44
2/02/2025,2/02/2025,8 YOLKS SUCCESS         Success,35.22
2/02/2025,2/02/2025,COTTON ON CLOTHING PTY  PERTH,30
2/02/2025,3/02/2025,GET CHUNKY PTY LTD 5789 EAST VICTORIA P,24.5
2/02/2025,3/02/2025,SEPHORA AUSTRALIA PTY L PERTH,78
2/02/2025,3/02/2025,WINDCAVE*KRISPY KREME H PERTH,8.3
3/02/2025,3/02/2025,ONLINE PAYMENT RECEIVED - THANKYOU W4216,-500
3/02/2025,3/02/2025,TEMU.COM                PARRAMATTA,18.6
3/02/2025,3/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,36.23
4/02/2025,4/02/2025,KMART PERTH CBD 1386    PERTH,15
5/02/2025,7/02/2025,APPLE.COM/BILL          SYDNEY,1.49
5/02/2025,6/02/2025,DESI MARKETPLACE        SOUTHERN RIVER,30.08
5/02/2025,6/02/2025,KMART SUCCESS 1362      SUCCESS,38.5
5/02/2025,6/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,21
5/02/2025,6/02/2025,WOOLWORTHS 4394 GATEWAY SUCCESS WA,43.36
6/02/2025,6/02/2025,115 GROUNDHOUSE 79913   ATWELL,8.13
6/02/2025,6/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,29.35
7/02/2025,8/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,21.65
8/02/2025,8/02/2025,8 YOLKS SUCCESS         Success,70.44
9/02/2025,9/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,11.5
9/02/2025,11/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,13.2
10/02/2025,11/02/2025,BP WELSHPOOL            KEWDALE,72.68
10/02/2025,11/02/2025,DESI MARKETPLACE        SOUTHERN RIVER,46.02
10/02/2025,11/02/2025,GUZMAN Y GOMEZ          SURRY HILLS,31.4
10/02/2025,11/02/2025,MyPerfectResume.com     Strassen,4
10/02/2025,11/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,5.8
10/02/2025,11/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,13.21
11/02/2025,11/02/2025,115 GROUNDHOUSE 79913   ATWELL,7.11
11/02/2025,12/02/2025,SUSHI HUB WILLIAM ST    PERTH,13.2
11/02/2025,12/02/2025,SWADES FOOD & GROCERY 7 COCKBURN CENTRA,15.98
11/02/2025,12/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,47.09
12/02/2025,13/02/2025,AUTOMOTORS WA PTY LTD   WELSHPOOL,680
12/02/2025,13/02/2025,CALTEX WELSHPOOL        WELSHPOOL,9.6
12/02/2025,13/02/2025,NANDOS AUSTRALIA        ABBOTSFORD,84.2
13/02/2025,14/02/2025,AIRBNB * HMNNT3R4MY     LONDON,288
13/02/2025,14/02/2025,HUBBL - KAYO SPORTS     NORTH RYDE,1
13/02/2025,14/02/2025,WOOLWORTHS 4330 HARVEST ATWELL,8.73
14/02/2025,15/02/2025,BOOST JUICE COCKBURN GA SUCCESS,9.7
14/02/2025,14/02/2025,FLOWER STATION          HAMILTON HILL,60
14/02/2025,15/02/2025,GUZMAN Y GOMEZ          SURRY HILLS,37.3
14/02/2025,14/02/2025,KMART SUCCESS 1362      SUCCESS,22.5
14/02/2025,15/02/2025,THE LUCKY CHARM SUCC 14 SUCCESS,42.61
